Day,ExpRep,PCN,log(transposon copy),log(plasmid copy),transposon copy,plasmid copy,T/P,Kan
17,4,CloDF,1.265012121185354,1.5433597026484123,18.414786103891167,34.97111890023627,0.5270056219839052,Kan
17,5,Chromosome,0.5217620252382331,0.0,3.3342379595991503,0.0,,Kan
17,5,pBR322,1.5065407857873623,1.5845926414159937,32.13559093956178,38.506550677985075,0.836620595134169,Kan
17,5,CloDF,1.2967085183381706,1.7866828744336092,19.815060670812553,61.281170139159805,0.3238837006891304,Kan
18,1,Chromosome,0.6316440808414123,0.0,4.311035105296084,0.0,,Kan
18,1,pBR322,1.7801124229467924,1.9371101719892854,60.846924978232316,87.60250298205371,0.6974333604736144,Kan
18,1,CloDF,1.4445509054474581,1.8194023864880904,27.940904698326772,66.17808814683485,0.4219112190038418,Kan
18,2,Chromosome,0.6416451632710087,0.0,4.394065163219483,0.0,,Kan
18,2,pBR322,1.7019765306042007,1.881194433631764,50.407502110017994,76.22198639048443,0.6622520652410276,Kan
18,2,CloDF,1.4058302389117154,2.1665722537970997,25.54964041428559,147.56530007705723,0.1738184579233681,Kan
18,3,Chromosome,0.6684075284975913,0.0,4.66973545394036,0.0,,Kan
18,3,pBR322,1.7774686773489625,1.943827062885073,60.05308775489919,88.06130949553581,0.6819850173976109,Kan
18,3,CloDF,1.3764108223873948,1.761800121689416,23.966670651791407,58.16149488587928,0.41192016270369275,Kan
18,4,Chromosome,0.5547745161463816,0.0,3.5972614131851075,0.0,,Kan
18,4,pBR322,1.6974802304913483,1.8787315386789862,49.89687801857166,75.81200655551773,0.6588863611477042,Kan
18,4,CloDF,1.382183493180855,1.7811779666532004,24.17614781227323,60.685472585132395,0.3991416420026907,Kan
18,5,Chromosome,0.6193002989872629,0.0,4.187933300748267,0.0,,Kan
18,5,pBR322,1.6877093770127152,1.8896523659511228,49.00558138022014,77.72631124969047,0.6292081175572526,Kan
18,5,CloDF,1.4091051612290169,2.0669089071150197,25.699177391605783,117.06562514156518,0.2199487429979801,Kan
